baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genus,variable,robust,n_eff
403.494450725671,3.39474479866327,0.499868847616,38.9586207732535,4.32884454782051e-10,2.29428761034487e-08,Rahnella,inoculate,TRUE,6
2730.02476844865,-2.73919521474431,0.66069676558291,15.0226867394983,0.000106226472232265,0.00281500151415502,Pseudomonas,inoculate,TRUE,6
97.5033097850843,3.08925688131051,0.846143471044169,11.8425565012476,0.000578922913964587,0.00790419854412775,Shewanella,no_leaves,TRUE,6
97.5033097850843,3.0906499908606,0.85125415848221,11.7867331263744,0.000596543286349264,0.00790419854412775,Shewanella,height,TRUE,6
264.001844948024,-3.16512168174992,0.881664482102373,10.8127997641294,0.00100800748069565,0.0106848792953739,Serratia,inoculate,TRUE,6
5659.2758762619,3.69002761096307,1.0153074178737,10.4257394581769,0.00124271090907155,0.0109772796967987,Aeromonas,inoculate,TRUE,6
403.494450725671,1.68466030359829,0.47156165000024,9.40395582104171,0.00216517789831898,0.016393489801558,Rahnella,no_leaves,TRUE,6
28.4257889263203,-2.21304713237428,0.888765841726726,5.95312291447493,0.0146912372039062,0.046989098383729,Acinetobacter,no_leaves,TRUE,6
5659.2758762619,1.67306589361295,0.622537431567444,5.89487187779132,0.0151850342074053,0.046989098383729,Aeromonas,no_leaves,TRUE,6
2.98875546452083,2.08138400287982,0.813995381104463,6.19113287374914,0.0128391969613106,0.046989098383729,Aphanizomenon,no_leaves,TRUE,6
7.29134002545754,1.64714394374619,0.723377870373801,6.06144786156911,0.0138164364649209,0.046989098383729,Pectobacterium,no_leaves,TRUE,6
3.53178762954852,2.18537752275066,0.817663465085322,6.53070449671375,0.010602795471563,0.046989098383729,Synechocystis,no_leaves,TRUE,6
218.592627557448,2.33564392987084,0.907214213927937,6.07595821226447,0.0137033946153235,0.046989098383729,Buttiauxella,height,TRUE,6
7.29134002545754,1.66778552741103,0.728187340775766,6.06711824343584,0.0137721480116772,0.046989098383729,Pectobacterium,height,TRUE,6
403.494450725671,1.49383037671744,0.539398106829243,5.8074341783821,0.0159585617152287,0.046989098383729,Rahnella,height,TRUE,6
3.53178762954852,2.13461287242104,0.821930135146945,6.14214943556936,0.0131996769088207,0.046989098383729,Synechocystis,height,TRUE,6
2.98875546452083,4.10478952955413,1.56482719851996,6.94215635478735,0.00841875629588472,0.046989098383729,Aphanizomenon,inoculate,TRUE,6
3.53178762954852,4.29090017826449,1.59081068370234,7.14011876338283,0.0075378166796747,0.046989098383729,Synechocystis,inoculate,TRUE,6
2.98875546452083,2.02124895996193,0.820801004321941,5.71085233078378,0.0168603513434607,0.0470315063791271,Aphanizomenon,height,TRUE,6
218.592627557448,2.25317992791565,0.911786543501541,5.50309993101482,0.01898279358319,0.0479089552337654,Buttiauxella,no_leaves,TRUE,6
10.1218221300672,4.36910387493601,1.66891587947334,5.51369255127591,0.018868171425686,0.0479089552337654,Anabaena,inoculate,TRUE,6
8.76942977251885,2.88318774697688,1.2136363589583,5.32385125165752,0.0210354703788774,0.0506763604582047,Rhodoferax,inoculate,TRUE,6
188.761148151539,1.91818308509139,0.723065713643351,5.16633112932384,0.0230288030719076,0.0508552734504627,Yersinia,height,TRUE,6
3.35200102626799,3.51935482250335,1.55334896628089,5.17179468680848,0.0229564874496535,0.0508552734504627,Crinalium,inoculate,TRUE,6
28.4257889263203,-2.0846531498066,0.906280994588194,5.02790077216141,0.0249421124358814,0.0528772783640686,Acinetobacter,height,TRUE,6
2730.02476844865,-1.15735218363917,0.512488651339624,4.66365728365815,0.0308075032760171,0.0627999105241887,Pseudomonas,no_leaves,TRUE,6
188.761148151539,1.84621925675391,0.729079142179072,4.59607055124118,0.0320453238908034,0.0629037839337993,Yersinia,no_leaves,TRUE,6
10.1218221300672,2.09684642385251,0.86139656174375,4.34619614390507,0.0370917036344792,0.0702092961652641,Anabaena,no_leaves,TRUE,6
10.1218221300672,1.97159583187138,0.867659008116768,3.9086301176071,0.0480387395813985,0.0877949378556593,Anabaena,height,TRUE,6
5659.2758762619,1.42220608650806,0.67052398795938,3.81466316506911,0.0508058194699674,0.0897569477302758,Aeromonas,height,TRUE,6
2730.02476844865,-1.09608706197129,0.545426987646177,3.62935133157558,0.0567689385134742,0.0940235544129417,Pseudomonas,height,TRUE,6
7.29134002545754,2.9997725645523,1.49824957454466,3.65936413001811,0.0557549079092324,0.0940235544129417,Pectobacterium,inoculate,TRUE,6
264.001844948024,-1.20904307779318,0.613050239043894,3.49008500065652,0.0617374148526285,0.0991540299148275,Serratia,no_leaves,TRUE,6
7.07241067137519,0.993079960672073,0.576100418199188,3.03690434945978,0.0813909930077417,0.123249217983152,Ideonella,no_leaves,TRUE,6
7.07241067137519,1.7549281690419,1.02402946751147,3.082262776163,0.0791503372767558,0.123249217983152,Ideonella,inoculate,TRUE,6
264.001844948024,-1.13841747300566,0.636797921079804,2.80441227368533,0.0940052880201138,0.138396674029612,Serratia,height,TRUE,6
3.35200102626799,1.45264262095489,0.825459627725062,2.54094697173642,0.110928238726262,0.158897206824104,Crinalium,no_leaves,TRUE,6
7.07241067137519,0.926336219045895,0.601050276832522,2.40995148955921,0.120566102185802,0.168157984627566,Ideonella,height,TRUE,6
3.35200102626799,1.30188536936039,0.841446858167466,1.99270247174643,0.158058598801239,0.214797582986299,Crinalium,height,TRUE,6
14.0444657062171,-0.624547480672653,0.540348441620407,1.39783953942663,0.237085637286845,0.306476555517141,Arenimonas,no_leaves,TRUE,6
