taxid,rank,rank_taxid,level,name
7074,subphylum,6596,7,Pezizomycotina
7074,class,6969,8,Lecanoromycetes
7074,order,6992,9,Lecanorales
7074,family,7073,10,Pilocarpaceae
7074,genus,7074,11,Byssoloma
7074,species,7074,12,
28558,domain,4,1,Eukaryota
28558,major_clade,6428,2,Opisthokonta
28558,superkingdom,6508,3,Nucletmycea
28558,kingdom,6516,4,Fungi
28558,phylum,28515,5,Mucoromycota
28558,subphylum,28516,6,Glomeromycotina
28558,class,28517,7,Glomeromycetes
28558,order,28558,8,uncultured
28558,species,28558,9,
20,domain,2,1,Archaea
20,phylum,6,2,Crenarchaeota
20,class,7,3,Thermoprotei
20,order,14,4,Desulfurococcales
20,family,15,5,Desulfurococcaceae
20,genus,20,6,Staphylothermus
20,species,20,7,
28510,domain,4,1,Eukaryota
28510,major_clade,6428,2,Opisthokonta
28510,superkingdom,6508,3,Nucletmycea
28510,kingdom,6516,4,Fungi
28510,phylum,8590,5,Microsporidia
28510,family,28509,6,Thelohaniidae
28510,genus,28510,7,Hyalinocysta
28510,species,28510,8,
28506,domain,4,1,Eukaryota
28506,major_clade,6428,2,Opisthokonta
28506,superkingdom,6508,3,Nucletmycea
28506,kingdom,6516,4,Fungi
28506,phylum,8590,5,Microsporidia
28506,family,28505,6,Pseudonosematidae
28506,genus,28506,7,Bryonosema
28506,species,28506,8,
28507,domain,4,1,Eukaryota
28507,major_clade,6428,2,Opisthokonta
28507,superkingdom,6508,3,Nucletmycea
28507,kingdom,6516,4,Fungi
28507,phylum,8590,5,Microsporidia
28507,family,28505,6,Pseudonosematidae
28507,genus,28507,7,Pseudonosema
28507,species,28507,8,
28508,domain,4,1,Eukaryota
28508,major_clade,6428,2,Opisthokonta
28508,superkingdom,6508,3,Nucletmycea
28508,kingdom,6516,4,Fungi
28508,phylum,8590,5,Microsporidia
28508,family,28505,6,Pseudonosematidae
28508,genus,28508,7,Trichonosema
28508,species,28508,8,
6765,domain,4,1,Eukaryota
6765,major_clade,6428,2,Opisthokonta
6765,superkingdom,6508,3,Nucletmycea
6765,kingdom,6516,4,Fungi
6765,subkingdom,6593,5,Dikarya
6765,phylum,6594,6,Ascomycota
6765,subphylum,6596,7,Pezizomycotina
6765,class,6607,8,Dothideomycetes
6765,order,6713,9,Pleosporales
6765,family,6764,10,Phaeosphaeriaceae
6765,genus,6765,11,Ophiosphaerella
6765,species,6765,12,
7225,domain,4,1,Eukaryota
7225,major_clade,6428,2,Opisthokonta
7225,superkingdom,6508,3,Nucletmycea
7225,kingdom,6516,4,Fungi
7225,subkingdom,6593,5,Dikarya
7225,phylum,6594,6,Ascomycota
7225,subphylum,6596,7,Pezizomycotina
7225,class,7147,8,Leotiomycetes
7225,order,7163,9,Helotiales
7225,family,7208,10,Incertae Sedis
7225,genus,7225,11,Rhexocercosporidium
7225,species,7225,12,
27682,domain,4,1,Eukaryota
27682,major_clade,6428,2,Opisthokonta
27682,superkingdom,6508,3,Nucletmycea
27682,kingdom,6516,4,Fungi
27682,subkingdom,6593,5,Dikarya
27682,phylum,6594,6,Ascomycota
27682,subphylum,6596,7,Pezizomycotina
27682,class,6969,8,Lecanoromycetes
27682,order,6992,9,Lecanorales
27682,family,7009,10,Cladoniaceae
27682,genus,27682,11,Heterodea
27682,species,27682,12,
6981,domain,4,1,Eukaryota
6981,major_clade,6428,2,Opisthokonta
6981,superkingdom,6508,3,Nucletmycea
6981,kingdom,6516,4,Fungi
6981,subkingdom,6593,5,Dikarya
6981,phylum,6594,6,Ascomycota
6981,subphylum,6596,7,Pezizomycotina
6981,class,6969,8,Lecanoromycetes
6981,order,6978,9,Baeomycetales
6981,family,6979,10,Baeomycetaceae
6981,genus,6981,11,Phyllobaeis
6981,species,6981,12,
6992,domain,4,1,Eukaryota
6992,major_clade,6428,2,Opisthokonta
6992,superkingdom,6508,3,Nucletmycea
6992,kingdom,6516,4,Fungi
6992,subkingdom,6593,5,Dikarya
6992,phylum,6594,6,Ascomycota
6992,subphylum,6596,7,Pezizomycotina
6992,class,6969,8,Lecanoromycetes
6992,order,6992,9,Lecanorales
6992,species,6992,10,
27471,domain,4,1,Eukaryota
27471,major_clade,6428,2,Opisthokonta
27471,superkingdom,6508,3,Nucletmycea
27471,kingdom,6516,4,Fungi
27471,subkingdom,6593,5,Dikarya
27471,phylum,6594,6,Ascomycota
27471,subphylum,6596,7,Pezizomycotina
27471,class,6607,8,Dothideomycetes
27471,order,6685,9,Incertae Sedis
27471,family,27470,10,Gloniaceae
27471,genus,27471,11,Cenococcum
27471,species,27471,12,
6707,domain,4,1,Eukaryota
6707,major_clade,6428,2,Opisthokonta
6707,superkingdom,6508,3,Nucletmycea
6707,kingdom,6516,4,Fungi
6707,subkingdom,6593,5,Dikarya
6707,phylum,6594,6,Ascomycota
6707,subphylum,6596,7,Pezizomycotina
6707,class,6607,8,Dothideomycetes
6707,order,6706,9,Mytilinidiales
6707,family,6707,10,Mytilinidiaceae
6707,species,6707,11,
6607,domain,4,1,Eukaryota
6607,major_clade,6428,2,Opisthokonta
6607,superkingdom,6508,3,Nucletmycea
6607,kingdom,6516,4,Fungi
6607,subkingdom,6593,5,Dikarya
6607,phylum,6594,6,Ascomycota
6607,subphylum,6596,7,Pezizomycotina
6607,class,6607,8,Dothideomycetes
6607,species,6607,9,
27577,domain,4,1,Eukaryota
27577,major_clade,6428,2,Opisthokonta
27577,superkingdom,6508,3,Nucletmycea
27577,kingdom,6516,4,Fungi
27577,subkingdom,6593,5,Dikarya
27577,phylum,6594,6,Ascomycota
27577,subphylum,6596,7,Pezizomycotina
27577,class,6811,8,Eurotiomycetes
27577,order,6816,9,Chaetothyriales
27577,family,6820,10,Herpotrichiellaceae
27577,genus,27577,11,Scolecobasidium
27577,species,27577,12,
27728,domain,4,1,Eukaryota
27728,major_clade,6428,2,Opisthokonta
27728,superkingdom,6508,3,Nucletmycea
27728,kingdom,6516,4,Fungi
27728,subkingdom,6593,5,Dikarya
27728,phylum,6594,6,Ascomycota
27728,subphylum,6596,7,Pezizomycotina
27728,class,6969,8,Lecanoromycetes
27728,order,7132,9,Teloschistales
27728,family,7140,10,Teloschistaceae
27728,genus,27728,11,Olegblumia
27728,species,27728,12,
7090,domain,4,1,Eukaryota
7090,major_clade,6428,2,Opisthokonta
7090,superkingdom,6508,3,Nucletmycea
7090,kingdom,6516,4,Fungi
7090,subkingdom,6593,5,Dikarya
7090,phylum,6594,6,Ascomycota
7090,subphylum,6596,7,Pezizomycotina
7090,class,6969,8,Lecanoromycetes
7090,order,6992,9,Lecanorales
7090,family,7089,10,Stereocaulaceae
7090,genus,7090,11,Lepraria
7090,species,7090,12,
28242,domain,4,1,Eukaryota
28242,major_clade,6428,2,Opisthokonta
28242,superkingdom,6508,3,Nucletmycea
28242,kingdom,6516,4,Fungi
28242,subkingdom,6593,5,Dikarya
28242,phylum,7825,6,Basidiomycota
28242,subphylum,7826,7,Agaricomycotina
28242,class,7827,8,Agaricomycetes
28242,order,8223,9,Russulales
28242,family,8253,10,Stereaceae
28242,genus,28242,11,Acanthophysellum
28242,species,28242,12,
8141,domain,4,1,Eukaryota
8141,major_clade,6428,2,Opisthokonta
8141,superkingdom,6508,3,Nucletmycea
8141,kingdom,6516,4,Fungi
8141,subkingdom,6593,5,Dikarya
8141,phylum,7825,6,Basidiomycota
8141,subphylum,7826,7,Agaricomycotina
8141,class,7827,8,Agaricomycetes
8141,order,8137,9,Polyporales
8141,family,8140,10,Fomitopsidaceae
8141,genus,8141,11,Amylocystis
8141,species,8141,12,
8244,domain,4,1,Eukaryota
8244,major_clade,6428,2,Opisthokonta
8244,superkingdom,6508,3,Nucletmycea
8244,kingdom,6516,4,Fungi
8244,subkingdom,6593,5,Dikarya
8244,phylum,7825,6,Basidiomycota
8244,subphylum,7826,7,Agaricomycotina
8244,class,7827,8,Agaricomycetes
8244,order,8223,9,Russulales
8244,family,8243,10,Lachnocladiaceae
8244,genus,8244,11,Asterostroma
8244,species,8244,12,
7995,domain,4,1,Eukaryota
7995,major_clade,6428,2,Opisthokonta
7995,superkingdom,6508,3,Nucletmycea
7995,kingdom,6516,4,Fungi
7995,subkingdom,6593,5,Dikarya
7995,phylum,7825,6,Basidiomycota
7995,subphylum,7826,7,Agaricomycotina
7995,class,7827,8,Agaricomycetes
7995,order,7993,9,Atheliales
7995,family,7994,10,Atheliaceae
7995,genus,7995,11,Athelia
7995,species,7995,12,
28136,domain,4,1,Eukaryota
28136,major_clade,6428,2,Opisthokonta
28136,superkingdom,6508,3,Nucletmycea
28136,kingdom,6516,4,Fungi
28136,subkingdom,6593,5,Dikarya
28136,phylum,7825,6,Basidiomycota
28136,subphylum,7826,7,Agaricomycotina
28136,class,7827,8,Agaricomycetes
28136,order,8072,9,Corticiales
28136,family,8073,10,Corticiaceae
28136,genus,28136,11,Candelabrochaete
28136,species,28136,12,
7935,domain,4,1,Eukaryota
7935,major_clade,6428,2,Opisthokonta
7935,superkingdom,6508,3,Nucletmycea
7935,kingdom,6516,4,Fungi
7935,subkingdom,6593,5,Dikarya
7935,phylum,7825,6,Basidiomycota
7935,subphylum,7826,7,Agaricomycotina
7935,class,7827,8,Agaricomycetes
7935,order,7828,9,Agaricales
7935,family,7934,10,Psathyrellaceae
7935,genus,7935,11,Coprinopsis
7935,species,7935,12,
7921,domain,4,1,Eukaryota
7921,major_clade,6428,2,Opisthokonta
7921,superkingdom,6508,3,Nucletmycea
7921,kingdom,6516,4,Fungi
7921,subkingdom,6593,5,Dikarya
7921,phylum,7825,6,Basidiomycota
7921,subphylum,7826,7,Agaricomycotina
7921,class,7827,8,Agaricomycetes
7921,order,7828,9,Agaricales
7921,family,7919,10,Physalacriaceae
7921,genus,7921,11,Cylindrobasidium
7921,species,7921,12,
28236,domain,4,1,Eukaryota
28236,major_clade,6428,2,Opisthokonta
28236,superkingdom,6508,3,Nucletmycea
28236,kingdom,6516,4,Fungi
28236,subkingdom,6593,5,Dikarya
28236,phylum,7825,6,Basidiomycota
28236,subphylum,7826,7,Agaricomycotina
28236,class,7827,8,Agaricomycetes
28236,order,8223,9,Russulales
28236,family,28235,10,Hyphodermataceae
28236,genus,28236,11,Galzinia
28236,species,28236,12,
28144,domain,4,1,Eukaryota
28144,major_clade,6428,2,Opisthokonta
28144,superkingdom,6508,3,Nucletmycea
28144,kingdom,6516,4,Fungi
28144,subkingdom,6593,5,Dikarya
28144,phylum,7825,6,Basidiomycota
28144,subphylum,7826,7,Agaricomycotina
28144,class,7827,8,Agaricomycetes
28144,order,8072,9,Corticiales
28144,family,8073,10,Corticiaceae
28144,genus,28144,11,Peniophorella
28144,species,28144,12,
28175,domain,4,1,Eukaryota
28175,major_clade,6428,2,Opisthokonta
28175,superkingdom,6508,3,Nucletmycea
28175,kingdom,6516,4,Fungi
28175,subkingdom,6593,5,Dikarya
28175,phylum,7825,6,Basidiomycota
28175,subphylum,7826,7,Agaricomycotina
28175,class,7827,8,Agaricomycetes
28175,order,28173,9,Jaapiales
28175,family,28174,10,Jaapiaceae
28175,genus,28175,11,Jaapia
28175,species,28175,12,
28142,domain,4,1,Eukaryota
28142,major_clade,6428,2,Opisthokonta
28142,superkingdom,6508,3,Nucletmycea
28142,kingdom,6516,4,Fungi
28142,subkingdom,6593,5,Dikarya
28142,phylum,7825,6,Basidiomycota
28142,subphylum,7826,7,Agaricomycotina
28142,class,7827,8,Agaricomycetes
28142,order,8072,9,Corticiales
28142,family,8073,10,Corticiaceae
28142,genus,28142,11,Lindtneria
28142,species,28142,12,
28228,domain,4,1,Eukaryota
28228,major_clade,6428,2,Opisthokonta
28228,superkingdom,6508,3,Nucletmycea
28228,kingdom,6516,4,Fungi
28228,subkingdom,6593,5,Dikarya
28228,phylum,7825,6,Basidiomycota
28228,subphylum,7826,7,Agaricomycotina
28228,class,7827,8,Agaricomycetes
28228,order,8137,9,Polyporales
28228,family,8188,10,Polyporaceae
28228,genus,28228,11,Pycnoporellus
28228,species,28228,12,
8043,domain,4,1,Eukaryota
8043,major_clade,6428,2,Opisthokonta
8043,superkingdom,6508,3,Nucletmycea
8043,kingdom,6516,4,Fungi
8043,subkingdom,6593,5,Dikarya
8043,phylum,7825,6,Basidiomycota
8043,subphylum,7826,7,Agaricomycotina
8043,class,7827,8,Agaricomycetes
8043,order,8003,9,Boletales
8043,family,8042,10,Serpulaceae
8043,genus,8043,11,Serpula
8043,species,8043,12,
7949,domain,4,1,Eukaryota
7949,major_clade,6428,2,Opisthokonta
7949,superkingdom,6508,3,Nucletmycea
7949,kingdom,6516,4,Fungi
7949,subkingdom,6593,5,Dikarya
7949,phylum,7825,6,Basidiomycota
7949,subphylum,7826,7,Agaricomycotina
7949,class,7827,8,Agaricomycetes
7949,order,7828,9,Agaricales
7949,family,7947,10,Stephanosporaceae
7949,genus,7949,11,Stephanospora
7949,species,7949,12,
8129,domain,4,1,Eukaryota
8129,major_clade,6428,2,Opisthokonta
8129,superkingdom,6508,3,Nucletmycea
8129,kingdom,6516,4,Fungi
8129,subkingdom,6593,5,Dikarya
8129,phylum,7825,6,Basidiomycota
8129,subphylum,7826,7,Agaricomycotina
8129,class,7827,8,Agaricomycetes
8129,order,8105,9,Hymenochaetales
8129,family,8127,10,Tubulicrinaceae
8129,genus,8129,11,Tubulicrinis
8129,species,8129,12,
8059,domain,4,1,Eukaryota
8059,major_clade,6428,2,Opisthokonta
8059,superkingdom,6508,3,Nucletmycea
8059,kingdom,6516,4,Fungi
8059,subkingdom,6593,5,Dikarya
8059,phylum,7825,6,Basidiomycota
8059,subphylum,7826,7,Agaricomycotina
8059,class,7827,8,Agaricomycetes
8059,order,8050,9,Cantharellales
8059,family,8057,10,Ceratobasidiaceae
8059,genus,8059,11,Thanatephorus
8059,species,8059,12,
28156,domain,4,1,Eukaryota
28156,major_clade,6428,2,Opisthokonta
28156,superkingdom,6508,3,Nucletmycea
28156,kingdom,6516,4,Fungi
28156,subkingdom,6593,5,Dikarya
28156,phylum,7825,6,Basidiomycota
28156,subphylum,7826,7,Agaricomycotina
28156,class,7827,8,Agaricomycetes
28156,order,8072,9,Corticiales
28156,family,28155,10,Vuilleminiaceae
28156,genus,28156,11,Vuilleminia
28156,species,28156,12,
7012,domain,4,1,Eukaryota
7012,major_clade,6428,2,Opisthokonta
7012,superkingdom,6508,3,Nucletmycea
7012,kingdom,6516,4,Fungi
7012,subkingdom,6593,5,Dikarya
7012,phylum,6594,6,Ascomycota
7012,subphylum,6596,7,Pezizomycotina
7012,class,6969,8,Lecanoromycetes
7012,order,6992,9,Lecanorales
7012,family,7009,10,Cladoniaceae
7012,genus,7012,11,Gymnoderma
7012,species,7012,12,
27622,domain,4,1,Eukaryota
27622,major_clade,6428,2,Opisthokonta
27622,superkingdom,6508,3,Nucletmycea
27622,kingdom,6516,4,Fungi
27622,subkingdom,6593,5,Dikarya
27622,phylum,6594,6,Ascomycota
27622,subphylum,6596,7,Pezizomycotina
27622,class,6811,8,Eurotiomycetes
27622,order,6887,9,Onygenales
27622,family,27621,10,Arachnomycetaceae
27622,genus,27622,11,Arachnomyces
27622,species,27622,12,
27530,domain,4,1,Eukaryota
27530,major_clade,6428,2,Opisthokonta
27530,superkingdom,6508,3,Nucletmycea
27530,kingdom,6516,4,Fungi
27530,subkingdom,6593,5,Dikarya
27530,phylum,6594,6,Ascomycota
27530,subphylum,6596,7,Pezizomycotina
27530,class,6607,8,Dothideomycetes
27530,order,6713,9,Pleosporales
27530,family,6764,10,Phaeosphaeriaceae
27530,genus,27530,11,Setomelanomma
27530,species,27530,12,
27935,domain,4,1,Eukaryota
27935,major_clade,6428,2,Opisthokonta
27935,superkingdom,6508,3,Nucletmycea
27935,kingdom,6516,4,Fungi
27935,subkingdom,6593,5,Dikarya
27935,phylum,6594,6,Ascomycota
27935,subphylum,6596,7,Pezizomycotina
27935,class,7420,8,Sordariomycetes
27935,order,7627,9,Sordariales
27935,family,7632,10,Chaetomiaceae
27935,genus,27935,11,Madurella
27935,species,27935,12,
28311,domain,4,1,Eukaryota
28311,major_clade,6428,2,Opisthokonta
28311,superkingdom,6508,3,Nucletmycea
28311,kingdom,6516,4,Fungi
28311,subkingdom,6593,5,Dikarya
28311,phylum,7825,6,Basidiomycota
28311,subphylum,7826,7,Agaricomycotina
28311,class,8268,8,Tremellomycetes
28311,order,8280,9,Tremellales
28311,family,28310,10,Carcinomycetaceae
28311,genus,28311,11,Carcinomyces
28311,species,28311,12,
7190,domain,4,1,Eukaryota
7190,major_clade,6428,2,Opisthokonta
7190,superkingdom,6508,3,Nucletmycea
7190,kingdom,6516,4,Fungi
7190,subkingdom,6593,5,Dikarya
7190,phylum,6594,6,Ascomycota
